2025-07-03 16:43:28,735 ERROR: Failed to process data/CSI-CARDIOLOGY-UPDATE-2018-Binder.pdf: pdfminer package not found, please install it with `pip install pdfminer.six`
2025-07-03 16:43:28,735 ERROR: Failed to process data/cardiology-explained.pdf: pdfminer package not found, please install it with `pip install pdfminer.six`
2025-07-03 16:43:28,735 ERROR: Failed to process data/14922.pdf: pdfminer package not found, please install it with `pip install pdfminer.six`
kage not found, please install it with `pip install pdfminer.six`
2025-07-03 16:43:28,739 ERROR: Failed to process data/heart_-_cote_14.pdf: pdfminer package not found, please install it with `pip install pdfminer.six`
2025-07-03 20:21:09,466 INFO: data/Acute Heart Failure journal.pdf => Pages: 1, Valid: 1, Chunks: 22
2025-07-03 20:21:11,040 INFO: data/10.1177_21501351231168829.pdf => Pages: 1, Valid: 1, Chunks: 59
2025-07-03 20:21:11,700 INFO: data/Bilateral Coronary Artery Fistulae journal.pdf => Pages: 1, Valid: 1, Chunks: 20
2025-07-03 20:21:12,395 WARNING: Cannot set non-stroke color because 2 components are specified but only 1 (grayscale), 3 (rgb) and 4 (cmyk) are supported
2025-07-03 20:21:12,404 WARNING: Cannot set non-stroke color because 2 components are specified but only 1 (grayscale), 3 (rgb) and 4 (cmyk) are supported
2025-07-03 20:21:12,569 INFO: data/1471-2261-12-71.pdf => Pages: 1, Valid: 1, Chunks: 74
2025-07-03 20:21:14,670 INFO: data/Cardiac Tamponade journal.pdf => Pages: 1, Valid: 1, Chunks: 22
2025-07-03 20:21:16,353 ERROR: Failed to process data/3-Valvular Heart Diseases (VHD).pdf: The PDF parser must valorize the standard metadata.
2025-07-03 20:21:16,696 ERROR: Failed to process data/1- Cardiology .pdf: The PDF parser must valorize the standard metadata.
2025-07-03 20:21:16,885 INFO: data/Cardiogenic Shock journal.pdf => Pages: 1, Valid: 1, Chunks: 22
2025-07-03 20:21:16,924 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:16,934 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:16,934 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:16,945 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:16,947 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:16,956 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:16,957 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:16,969 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:16,972 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:16,976 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:16,979 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:16,989 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:16,992 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,000 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,004 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,009 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,015 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,015 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,025 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,033 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,037 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,041 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,047 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,047 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,057 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,057 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,069 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,073 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,079 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,084 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,088 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,096 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,096 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,105 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,105 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,105 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,121 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,121 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,131 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,137 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,137 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,144 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:17,152 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
